Actividad,Cantidad de Casos
"Agricultura, Pecuaria y Explotación Forestal",746
Pesca,4
Industrias Extractivas,231
Industria de Transformación,10394
"Producción y Distribución Electricidad, Gas y Agua",899
Construcción,2237
"Comercio, Rep Vehículos Automotrices, Obj pers Dom",7850
Alojamiento y Alimentación,6714
"Transporte, Almacenamiento y Comunicaciones",2203
Intermediación Financiera,1411
Actividades Inmobiliarias con avaluos y serv prest,2782
"Administracion Publica, Defensa y Seguridad Social",2501
Educación,3524
Salud y Servicios Sociales,3700
Otros Servicios colectivos sociales y personales,1571
Servicios Domesticos,24
Organismos Internacionales y otras inst extraterri,6
Total:,46797
