Grupo de Ocupación,Registros,%
AGRICULTORES Y TRABAJADORES CALIFICADOS AGROPECUARIOS Y PESQUEROS,359,1
EMPLEADOS DE OFICINA,18138,38
FUERZAS ARMADAS,605,1
"OFICIALES, OPERARIOS Y ARTESANOS DE ARTES MECANICAS Y DE OTROS OFICIOS",2662,6
OPERADORES DE INSTALACIONES Y MAQUINAS Y MONTADORES,4373,9
PROFESIONALES CIENTIFICOS E INTELECTUALES,5357,11
TECNICOS Y PROFESIONALES DE NIVEL MEDIO,3911,8
TRABAJADORES DE LOS SERVICIOS Y VENDEDORES DE COMERCIOS Y MERCADOS,6895,15
TRABAJADORES NO CALIFICADOS,5150,11
Total:,47450,
